web-scraper-order,web-scraper-start-url,links,links-href,role name,place,description,job number,pages,pages-href
1686077850-1,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Head of Suspension & Steering Systems,https://www.totaljobs.com/job/head-of-systems/aston-martin-lagonda-limited-job100383242,Head of Suspension & Steering Systems,"UK, Europe",,Job ID: 100383242,47,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=47
1686077853-2,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Head of Brakes,https://www.totaljobs.com/job/head/aston-martin-lagonda-limited-job100400364,Head of Brakes,"UK, Europe",,Job ID: 100400364,47,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=47
1686077857-3,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Launch Lead,https://www.totaljobs.com/job/lead/vifor-international-ag-job100400391,Launch Lead,"UK, Europe",,Job ID: 100400391,47,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=47
1686077861-4,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Operational Analyst,https://www.totaljobs.com/job/operational-analyst/leonardo-mw-ltd-job100301710,Operational Analyst,"UK, Europe",,Job ID: 100301710,47,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=47
1686077864-5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Early Careers Recruitment Consultant,https://www.totaljobs.com/job/early-consultant/hoare-lea-and-partners-limited-job100383165,Early Careers Recruitment Consultant,"UK, Europe",,Job ID: 100383165,47,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=47
1686077868-6,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Systems Integrator,https://www.totaljobs.com/job/systems-integrator/intersystems-corporation-job100386663,Systems Integrator,"UK, Europe",,Job ID: 100386663,47,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=47
1686077874-7,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Project Engineering Manager,https://www.totaljobs.com/job/project-engineering-manager/leonardo-mw-ltd-job100387453,Project Engineering Manager,"UK, Europe",,Job ID: 100387453,47,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=47
1686077878-8,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Airport Traffic Engineer (ATSEP) - Various Airports,https://www.totaljobs.com/job/traffic-engineer/nats-limited-job100440793,Airport Traffic Engineer (ATSEP) - Various Airports,"UK, Europe",,Job ID: 100440793,47,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=47
1686077882-9,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Electrical Engineer,https://www.totaljobs.com/job/electrical-engineer/hoare-lea-and-partners-limited-job100384023,Electrical Engineer,"UK, Europe",,Job ID: 100384023,47,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=47
1686077885-10,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Deputy Financial Controller,https://www.totaljobs.com/job/deputy/qinetiq-limited-job100499484,Deputy Financial Controller,"UK, Europe",,Job ID: 100499484,47,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=47
1686077890-11,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Senior Splunk Engineer,https://www.totaljobs.com/job/splunk-engineer/qinetiq-limited-job100499478,Senior Splunk Engineer,"UK, Europe",,Job ID: 100499478,47,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=47
1686077900-12,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,EMX Angular Engineer Essence Tech LON,https://www.totaljobs.com/job/angular-engineer/wpp-job100538620,EMX Angular Engineer Essence Tech LON,"London, South East","Description
 
 Position at EssenceMediacom
 About EssenceMediacomX 
 EssenceMediacomX, part of GroupM, is a global data and measurement-driven agency that blends data science, objective media and captivating experiences to build valuable connections between brands and consumers. Clients include Google, FrieslandCampina, and the Financial Times. The agency is more than 1,700 people strong, manages over $3.2B in media spend and deploys campaigns in 71 markets via its global offices throughout North America, EMEA and APAC. 
  About the role  
 As a Senior Front-End Engineer at EssenceMediacomX, you will work with a dedicated team to build captivating online experiences with a strong focus on quality and creating value for our clients. 
 You'll work with a team of engineers using open source technologies, tools and delivery approaches to rapidly design and build. Our philosophy of continuous improvement means all team members are committed to play and reinvent the way we work, encouraging everyone to grow and improve their skills. 
  Responsibilities",Job ID: 100538620,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077903-13,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,"Consultant, Data Science and Machine Learning, Defence and Security, SAMA",https://www.totaljobs.com/job/consultant-security/deloitte-llp-job100494736,"Consultant, Data Science and Machine Learning, Defence and Security, SAMA","London, South East",,Job ID: 100494736,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
